Enrollment ID,Class Date,Attendance Flag
E0001,2026-01-26,0
E0001,2026-01-28,1
E0001,2026-01-19,1
E0001,2026-01-21,1
E0001,2026-01-12,1
E0001,2026-01-14,1
E0001,2026-01-05,1
E0001,2026-01-07,1
E0001,2025-12-29,1
E0001,2025-12-31,1
E0001,2025-12-22,0
E0001,2025-12-24,1
E0001,2025-12-15,1
E0001,2025-12-17,1
E0001,2025-12-08,1
E0001,2025-12-10,1
E0001,2025-12-01,1
E0001,2025-12-03,1
E0001,2025-11-24,1
E0001,2025-11-26,1
E0001,2025-11-17,1
E0001,2025-11-19,1
E0001,2025-11-10,1
E0001,2025-11-12,1
E0002,2026-01-26,1
E0002,2026-01-28,0
E0002,2026-01-19,0
E0002,2026-01-21,1
E0002,2026-01-12,0
E0002,2026-01-14,1
E0002,2026-01-05,1
E0002,2026-01-07,0
E0002,2025-12-29,0
E0002,2025-12-31,0
E0002,2025-12-22,1
E0002,2025-12-24,1
E0002,2025-12-15,0
E0002,2025-12-17,0
E0002,2025-12-08,1
E0002,2025-12-10,0
E0002,2025-12-01,1
E0002,2025-12-03,0
E0002,2025-11-24,1
E0002,2025-11-26,0
E0002,2025-11-17,1
E0002,2025-11-19,0
E0002,2025-11-10,0
E0002,2025-11-12,1
E0003,2026-01-26,0
E0003,2026-01-28,0
E0003,2026-01-19,0
E0003,2026-01-21,0
E0003,2026-01-12,0
E0003,2026-01-14,1
E0003,2026-01-05,1
E0003,2026-01-07,1
E0003,2025-12-29,1
E0003,2025-12-31,0
E0003,2025-12-22,1
E0003,2025-12-24,0
E0003,2025-12-15,0
E0003,2025-12-17,1
E0003,2025-12-08,0
E0003,2025-12-10,1
E0003,2025-12-01,0
E0003,2025-12-03,1
E0003,2025-11-24,0
E0003,2025-11-26,0
E0003,2025-11-17,1
E0003,2025-11-19,1
E0003,2025-11-10,0
E0003,2025-11-12,0
E0004,2026-01-26,0
E0004,2026-01-28,1
E0004,2026-01-19,0
E0004,2026-01-21,1
E0004,2026-01-12,0
E0004,2026-01-14,0
E0004,2026-01-05,1
E0004,2026-01-07,1
E0004,2025-12-29,1
E0004,2025-12-31,1
E0004,2025-12-22,0
E0004,2025-12-24,0
E0004,2025-12-15,0
E0004,2025-12-17,0
E0004,2025-12-08,1
E0004,2025-12-10,0
E0004,2025-12-01,0
E0004,2025-12-03,0
E0004,2025-11-24,0
E0004,2025-11-26,0
E0004,2025-11-17,0
E0004,2025-11-19,0
E0004,2025-11-10,1
E0004,2025-11-12,1
E0005,2026-01-26,1
E0005,2026-01-28,1
E0005,2026-01-19,1
E0005,2026-01-21,1
E0005,2026-01-12,1
E0005,2026-01-14,1
E0005,2026-01-05,1
E0005,2026-01-07,1
E0005,2025-12-29,1
E0005,2025-12-31,1
E0005,2025-12-22,1
E0005,2025-12-24,0
E0005,2025-12-15,1
E0005,2025-12-17,1
E0005,2025-12-08,1
E0005,2025-12-10,1
E0005,2025-12-01,1
E0005,2025-12-03,1
E0005,2025-11-24,1
E0005,2025-11-26,1
E0005,2025-11-17,1
E0005,2025-11-19,1
E0005,2025-11-10,1
E0005,2025-11-12,1
E0006,2026-01-26,1
E0006,2026-01-28,1
E0006,2026-01-19,1
E0006,2026-01-21,1
E0006,2026-01-12,1
E0006,2026-01-14,1
E0006,2026-01-05,1
E0006,2026-01-07,1
E0006,2025-12-29,0
E0006,2025-12-31,1
E0006,2025-12-22,1
E0006,2025-12-24,1
E0006,2025-12-15,1
E0006,2025-12-17,0
E0006,2025-12-08,0
E0006,2025-12-10,1
E0006,2025-12-01,1
E0006,2025-12-03,1
E0006,2025-11-24,1
E0006,2025-11-26,1
E0006,2025-11-17,1
E0006,2025-11-19,1
E0006,2025-11-10,1
E0006,2025-11-12,1
