enrollment_id,student_id,class_id,status,active
E0001,1,T01,Active,True
E0002,2,T01,Active,True
E0003,3,T01,Active,True
E0004,4,T01,Active,True
E0005,5,T01,Active,True
E0006,6,T01,Active,True
E0007,7,T01,Active,True
E0008,8,T01,Active,True
E0009,9,T01,Dropped,
E0010,10,T01,Active,True
E0011,11,T01,Dropped,
E0012,12,T01,Completed,
E0013,13,T01,Active,True
E0014,14,T02,Active,True
E0015,15,T02,Active,True
E0016,16,T02,Completed,
E0017,17,T02,Active,True
E0018,18,T02,Active,True
E0019,19,T02,Active,True
E0020,20,T02,Completed,
E0021,21,T02,Dropped,
E0022,22,T02,Active,True
E0023,23,T02,Active,True
E0024,24,T02,Active,True
E0025,25,T02,Active,True
E0026,26,T02,Active,True
E0027,27,T02,Active,True
E0028,28,T02,Active,True
E0029,29,T03,Active,True
E0030,30,T03,Active,True
E0031,31,T03,Completed,
E0032,32,T03,Active,True
E0033,33,T03,Active,True
E0034,34,T03,Active,True
E0035,35,T03,Active,True
E0036,36,T03,Completed,
E0037,37,T03,Active,True
E0038,38,T03,Active,True
E0039,39,T03,Active,True
E0040,40,T03,Active,True
E0041,41,T04,Active,True
E0042,42,T04,Dropped,
E0043,43,T04,Active,True
E0044,44,T04,Active,True
E0045,45,T04,Active,True
E0046,46,T04,Dropped,
E0047,47,T04,Active,True
E0048,48,T04,Active,True
E0049,49,T04,Active,True
E0050,50,T04,Active,True
E0051,51,T04,Completed,
E0052,52,T04,Completed,
E0053,53,T04,Active,True
E0054,54,T05,Active,True
E0055,55,T05,Active,True
E0056,56,T05,Active,True
E0057,57,T05,Active,True
E0058,58,T05,Active,True
E0059,59,T05,Active,True
E0060,60,T05,Active,True
E0061,61,T05,Dropped,
E0062,62,T05,Active,True
E0063,63,T05,Active,True
E0064,64,T05,Active,True
E0065,65,T05,Completed,
E0066,66,T06,Dropped,
E0067,67,T06,Active,True
E0068,68,T06,Active,True
E0069,69,T06,Completed,
E0070,70,T06,Active,True
E0071,71,T06,Active,True
E0072,72,T06,Active,True
E0073,73,T06,Dropped,
E0074,74,T06,Dropped,
E0075,75,T06,Active,True
E0076,76,T06,Dropped,
E0077,77,T07,Active,True
E0078,78,T07,Active,True
E0079,79,T07,Active,True
E0080,80,T07,Active,True
E0081,81,T07,Active,True
E0082,82,T07,Active,True
E0083,83,T07,Active,True
E0084,84,T07,Active,True
E0085,85,T07,Active,True
E0086,86,T07,Active,True
E0087,87,T08,Dropped,
E0088,88,T08,Active,True
E0089,89,T08,Active,True
E0090,90,T08,Active,True
E0091,91,T08,Active,True
E0092,92,T08,Active,True
E0093,93,T08,Active,True
E0094,94,T08,Active,True
E0095,95,T08,Active,True
E0096,96,T08,Active,True
E0097,97,T08,Dropped,
E0098,98,T08,Active,True
E0099,99,T08,Dropped,
E0100,100,T09,Active,True
E0101,101,T09,Active,True
E0102,102,T09,Completed,
E0103,103,T09,Active,True
E0104,104,T09,Active,True
E0105,105,T09,Active,True
E0106,106,T09,Active,True
E0107,107,T09,Completed,
E0108,108,T09,Active,True
E0109,109,T09,Active,True
E0110,110,T10,Completed,
E0111,111,T10,Active,True
E0112,112,T10,Active,True
E0113,113,T10,Active,True
E0114,114,T10,Active,True
E0115,115,T10,Active,True
E0116,116,T10,Active,True
E0117,117,T10,Dropped,
E0118,118,T10,Active,True
E0119,119,T10,Active,True
E0120,120,T10,Active,True
E0121,121,T10,Active,True
E0122,122,T11,Active,True
E0123,123,T11,Dropped,
E0124,124,T11,Active,True
E0125,125,T11,Active,True
E0126,126,T11,Dropped,
E0127,127,T11,Active,True
E0128,128,T11,Active,True
E0129,129,T11,Active,True
E0130,130,T11,Completed,
E0131,131,T11,Active,True
E0132,132,T12,Active,True
E0133,133,T12,Active,True
E0134,134,T12,Active,True
E0135,135,T12,Active,True
E0136,136,T12,Active,True
E0137,137,T12,Completed,
E0138,138,T12,Active,True
E0139,139,T12,Active,True
E0140,140,T12,Active,True
E0141,141,T12,Dropped,
E0142,142,T12,Active,True
E0143,143,T13,Active,True
E0144,144,T13,Dropped,
E0145,145,T13,Completed,
E0146,146,T13,Active,True
E0147,147,T13,Active,True
E0148,148,T13,Active,True
E0149,149,T13,Active,True
E0150,150,T13,Dropped,
E0151,151,T13,Dropped,
E0152,152,T13,Active,True
E0153,153,T14,Active,True
E0154,154,T14,Active,True
E0155,155,T14,Active,True
E0156,156,T14,Active,True
E0157,157,T14,Active,True
E0158,158,T14,Active,True
E0159,159,T14,Active,True
E0160,160,T14,Completed,
E0161,161,T14,Active,True
E0162,162,T14,Active,True
E0163,163,T14,Active,True
E0164,164,T14,Dropped,
E0165,165,T14,Completed,
E0166,166,T15,Completed,
E0167,167,T15,Active,True
E0168,168,T15,Dropped,
E0169,169,T15,Active,True
E0170,170,T15,Active,True
E0171,171,T15,Active,True
E0172,172,T15,Active,True
E0173,173,T15,Active,True
E0174,174,T15,Active,True
E0175,175,T15,Active,True
E0176,176,T15,Active,True
E0177,177,T15,Completed,
E0178,178,T15,Active,True
E0179,179,T15,Active,True
E0180,180,T15,Dropped,
E0181,181,T16,Active,True
E0182,182,T16,Active,True
E0183,183,T16,Completed,
E0184,184,T16,Active,True
E0185,185,T16,Active,True
E0186,186,T16,Active,True
E0187,187,T16,Active,True
E0188,188,T16,Active,True
E0189,189,T16,Active,True
E0190,190,T16,Active,True
E0191,191,T16,Active,True
E0192,192,T16,Active,True
E0193,193,T17,Active,True
E0194,194,T17,Dropped,
E0195,195,T17,Active,True
E0196,196,T17,Active,True
E0197,197,T17,Completed,
E0198,198,T17,Active,True
