Student_ID,Intervention_Type,Intervention_Description,Case_Status,Intervention_Date
340,Academic Support,Attendance plan and tutoring suggested,Resolved,2026-01-26
312,Class / Level Change,Placed in smaller group for focused support,In Progress,2026-01-26
137,Pedagogical Conversation,Discussed engagement and attendance,Resolved,2026-01-26
280,Academic Support,Recommended attendance plan and extra materials,In Progress,2026-01-26
200,Academic Support,Recommended attendance plan and materials,Resolved,2026-01-26
111,Pedagogical Conversation,Follow-up on attendance and engagement,Resolved,2026-01-26
140,Pedagogical Conversation,Manager discussion on attendance issues,Resolved,2026-01-26
166,Class / Level Change,Shift moved to evening for better attendance,In Progress,2026-01-26
153,Pedagogical Conversation,Follow-up on attendance,Resolved,2026-01-26
138,Academic Support,Extra support recommended,Resolved,2026-01-26
126,Academic Support,Tutoring recommended,Resolved,2026-01-26
257,Class / Level Change,Shift changed to evening,Resolved,2026-01-26
29,Schedule Change,Shift changed due to work schedule,Resolved,2026-01-26
74,Pedagogical Conversation,Discussed engagement and attendance,Resolved,2026-01-26
28,Academic Support,Tutoring recommended,Resolved,2026-01-26
1,Pedagogical Conversation,Manager discussion on attendance,Resolved,2026-01-26
9,Pedagogical Conversation,Pedagogical conversation assigned to Branch Manager,In Progress,2026-01-26
273,Schedule Change,Changed to evening class due to work schedule,Resolved,2026-01-26
119,Academic Support,Tutoring recommended,Resolved,2026-01-26
380,Pedagogical Conversation,Attendance follow-up discussion,Resolved,2026-01-26
47,Academic Support,Tutoring recommended,Resolved,2026-01-26
135,Pedagogical Conversation,Manager follow-up on attendance and engagement,In Progress,2026-01-26
310,Academic Support,Tutoring recommended,Resolved,2026-01-26
247,Class / Level Change,Moved to beginner group for better engagement,Resolved,2026-01-26
154,Pedagogical Conversation,Manager follow-up on attendance and engagement,Resolved,2026-01-26
381,Academic Support,Tutoring and extra materials recommended,Resolved,2026-01-26
192,Academic Support,Tutoring sessions recommended,Resolved,2026-01-26
339,Academic Support,Extra tutoring recommended,Resolved,2026-01-26
293,Academic Support,Tutoring recommended,Resolved,2026-01-26
83,Academic Support,Tutoring and extra materials recommended,Resolved,2026-01-26
241,Academic Support,Tutoring recommended,Resolved,2026-01-26
245,Academic Support,Tutoring and attendance follow-up recommended,Resolved,2026-01-26
60,Pedagogical Conversation,Discussed attendance issues and engagement,Resolved,2026-01-26
38,Academic Support,Tutoring recommended,Resolved,2026-01-26
44,Academic Support,Tutoring recommended,Resolved,2026-01-26
